E_low_MeV,E_high_MeV,E_center_MeV,counts_total,counts_primary,counts_secondary,prob_total_per_bin
5.1000000000000005,5.11,5.105,0,0,0,0.0
5.11,5.12,5.115,0,0,0,0.0
5.12,5.13,5.125,0,0,0,0.0
5.13,5.14,5.135,0,0,0,0.0
5.14,5.15,5.145,0,0,0,0.0
5.15,5.16,5.155,0,0,0,0.0
5.16,5.17,5.165,0,0,0,0.0
5.17,5.18,5.175,0,0,0,0.0
5.18,5.19,5.1850000000000005,0,0,0,0.0
5.19,5.2,5.195,0,0,0,0.0
5.2,5.21,5.205,0,0,0,0.0
5.21,5.22,5.215,0,0,0,0.0
5.22,5.23,5.225,0,0,0,0.0
5.23,5.24,5.235,0,0,0,0.0
5.24,5.25,5.245,0,0,0,0.0
5.25,5.26,5.255,0,0,0,0.0
5.26,5.2700000000000005,5.265000000000001,0,0,0,0.0
5.2700000000000005,5.28,5.275,0,0,0,0.0
5.28,5.29,5.285,0,0,0,0.0
5.29,5.3,5.295,0,0,0,0.0
5.3,5.3100000000000005,5.305,0,0,0,0.0
5.3100000000000005,5.32,5.315,0,0,0,0.0
5.32,5.33,5.325,0,0,0,0.0
5.33,5.34,5.335,0,0,0,0.0
5.34,5.3500000000000005,5.345000000000001,0,0,0,0.0
5.3500000000000005,5.36,5.355,0,0,0,0.0
5.36,5.37,5.365,0,0,0,0.0
5.37,5.38,5.375,0,0,0,0.0
5.38,5.39,5.385,0,0,0,0.0
5.39,5.4,5.395,0,0,0,0.0
5.4,5.41,5.405,0,0,0,0.0
5.41,5.42,5.415,0,0,0,0.0
5.42,5.43,5.425,0,0,0,0.0
5.43,5.44,5.4350000000000005,0,0,0,0.0
5.44,5.45,5.445,0,0,0,0.0
5.45,5.46,5.455,0,0,0,0.0
5.46,5.47,5.465,0,0,0,0.0
5.47,5.48,5.475,0,0,0,0.0
5.48,5.49,5.485,0,0,0,0.0
5.49,5.5,5.495,0,0,0,0.0
5.5,5.51,5.505,0,0,0,0.0
5.51,5.5200000000000005,5.515000000000001,0,0,0,0.0
5.5200000000000005,5.53,5.525,0,0,0,0.0
5.53,5.54,5.535,0,0,0,0.0
5.54,5.55,5.545,0,0,0,0.0
5.55,5.5600000000000005,5.555,0,0,0,0.0
5.5600000000000005,5.57,5.565,0,0,0,0.0
5.57,5.58,5.575,0,0,0,0.0
5.58,5.59,5.585,0,0,0,0.0
5.59,5.6000000000000005,5.595000000000001,0,0,0,0.0
5.6000000000000005,5.61,5.605,0,0,0,0.0
5.61,5.62,5.615,0,0,0,0.0
5.62,5.63,5.625,0,0,0,0.0
5.63,5.64,5.635,0,0,0,0.0
5.64,5.65,5.645,0,0,0,0.0
5.65,5.66,5.655,0,0,0,0.0
5.66,5.67,5.665,0,0,0,0.0
5.67,5.68,5.675,0,0,0,0.0
5.68,5.69,5.6850000000000005,0,0,0,0.0
5.69,5.7,5.695,0,0,0,0.0
5.7,5.71,5.705,0,0,0,0.0
5.71,5.72,5.715,0,0,0,0.0
5.72,5.73,5.725,0,0,0,0.0
5.73,5.74,5.735,0,0,0,0.0
5.74,5.75,5.745,0,0,0,0.0
5.75,5.76,5.755,0,0,0,0.0
5.76,5.7700000000000005,5.765000000000001,0,0,0,0.0
5.7700000000000005,5.78,5.775,0,0,0,0.0
5.78,5.79,5.785,0,0,0,0.0
5.79,5.8,5.795,0,0,0,0.0
5.8,5.8100000000000005,5.805,0,0,0,0.0
5.8100000000000005,5.82,5.815,0,0,0,0.0
5.82,5.83,5.825,0,0,0,0.0
5.83,5.84,5.835,0,0,0,0.0
5.84,5.8500000000000005,5.845000000000001,0,0,0,0.0
5.8500000000000005,5.86,5.855,0,0,0,0.0
5.86,5.87,5.865,0,0,0,0.0
5.87,5.88,5.875,0,0,0,0.0
5.88,5.89,5.885,0,0,0,0.0
5.89,5.9,5.895,0,0,0,0.0
5.9,5.91,5.905,0,0,0,0.0
5.91,5.92,5.915,0,0,0,0.0
5.92,5.93,5.925,0,0,0,0.0
5.93,5.94,5.9350000000000005,0,0,0,0.0
5.94,5.95,5.945,0,0,0,0.0
5.95,5.96,5.955,0,0,0,0.0
5.96,5.97,5.965,0,0,0,0.0
5.97,5.98,5.975,0,0,0,0.0
5.98,5.99,5.985,0,0,0,0.0
5.99,6.0,5.995,0,0,0,0.0
